I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
38          9.7939e+09  4.7407e+12  1.7410e+01  1.5000e+03  3.1378e+11  1.6507e+01  1.5000e+03  1.5779e+07  1.7311e+01  1.5000e+03  2.5512e+04  1.2873e+01  1.5000e+03  1.5805e+07  1.7348e+01  1.5005e+03  
39          9.7963e+09  4.6464e+12  1.7758e+01  1.5000e+03  3.0708e+11  1.6834e+01  1.5000e+03  1.6039e+07  1.7656e+01  1.5000e+03  2.6878e+04  1.3134e+01  1.5000e+03  1.6066e+07  1.7690e+01  1.5005e+03  
40          9.7986e+09  4.5536e+12  1.8121e+01  1.5000e+03  3.0053e+11  1.7178e+01  1.5000e+03  1.6307e+07  1.8018e+01  1.5000e+03  2.8331e+04  1.3411e+01  1.5000e+03  1.6336e+07  1.8051e+01  1.5005e+03  
41          9.8010e+09  4.4621e+12  1.8493e+01  1.5000e+03  2.9412e+11  1.7528e+01  1.5000e+03  1.6584e+07  1.8386e+01  1.5000e+03  2.9877e+04  1.3695e+01  1.5000e+03  1.6614e+07  1.8419e+01  1.5005e+03  
42          9.8034e+09  4.3720e+12  1.8873e+01  1.5000e+03  2.8784e+11  1.7887e+01  1.5000e+03  1.6869e+07  1.8764e+01  1.5000e+03  3.1524e+04  1.3990e+01  1.5000e+03  1.6900e+07  1.8797e+01  1.5005e+03  
43          9.8058e+09  4.2834e+12  1.9264e+01  1.5000e+03  2.8170e+11  1.8256e+01  1.5000e+03  1.7162e+07  1.9152e+01  1.5000e+03  3.3277e+04  1.4294e+01  1.5000e+03  1.7195e+07  1.9184e+01  1.5004e+03  
44          9.8083e+09  4.1960e+12  1.9664e+01  1.5000e+03  2.7568e+11  1.8633e+01  1.5000e+03  1.7463e+07  1.9549e+01  1.5000e+03  3.5143e+04  1.4609e+01  1.5000e+03  1.7498e+07  1.9580e+01  1.5004e+03  
45          9.8107e+09  4.1101e+12  2.0074e+01  1.5000e+03  2.6978e+11  1.9021e+01  1.5000e+03  1.7773e+07  1.9957e+01  1.5000e+03  3.7130e+04  1.4934e+01  1.5000e+03  1.7810e+07  1.9987e+01  1.5004e+03  
46          9.8132e+09  4.0255e+12  2.0494e+01  1.5000e+03  2.6400e+11  1.9418e+01  1.5000e+03  1.8090e+07  2.0374e+01  1.5000e+03  3.9246e+04  1.5271e+01  1.5000e+03  1.8130e+07  2.0405e+01  1.5004e+03  
47          9.8156e+09  3.9422e+12  2.0925e+01  1.5000e+03  2.5833e+11  1.9826e+01  1.5000e+03  1.8417e+07  2.0803e+01  1.5000e+03  4.1500e+04  1.5619e+01  1.5000e+03  1.8458e+07  2.0832e+01  1.5004e+03  
