I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
35          9.8822e+09  6.5347e+11  2.7903e+01  1.5000e+03  2.4441e+11  2.2566e+01  1.5000e+03  1.0261e+07  2.7416e+01  1.5000e+03  1.2010e+05  1.9523e+01  1.5000e+03  1.0381e+07  2.7350e+01  1.5002e+03  
36          9.8885e+09  6.0178e+11  2.9258e+01  1.5000e+03  2.2633e+11  2.3423e+01  1.5000e+03  1.0897e+07  2.8731e+01  1.5000e+03  1.4748e+05  2.0245e+01  1.5000e+03  1.1045e+07  2.8642e+01  1.5002e+03  
37          9.8949e+09  5.5329e+11  3.0725e+01  1.5000e+03  2.0951e+11  2.4352e+01  1.5000e+03  1.1579e+07  3.0153e+01  1.5000e+03  1.8108e+05  2.1060e+01  1.5000e+03  1.1761e+07  3.0037e+01  1.5002e+03  
38          9.9014e+09  5.0790e+11  3.2320e+01  1.5000e+03  1.9384e+11  2.5367e+01  1.5000e+03  1.2314e+07  3.1695e+01  1.5000e+03  2.2210e+05  2.1983e+01  1.5000e+03  1.2536e+07  3.1546e+01  1.5002e+03  
39          9.9080e+09  4.6553e+11  3.4059e+01  1.5000e+03  1.7918e+11  2.6480e+01  1.5000e+03  1.3110e+07  3.3372e+01  1.5000e+03  2.7193e+05  2.3029e+01  1.5000e+03  1.3382e+07  3.3184e+01  1.5002e+03  
40          9.9147e+09  4.2607e+11  3.5958e+01  1.5000e+03  1.6545e+11  2.7705e+01  1.5000e+03  1.3975e+07  3.5199e+01  1.5000e+03  3.3232e+05  2.4204e+01  1.5000e+03  1.4307e+07  3.4965e+01  1.5002e+03  
41          9.9215e+09  3.8940e+11  3.8032e+01  1.5000e+03  1.5255e+11  2.9055e+01  1.5000e+03  1.4920e+07  3.7191e+01  1.5000e+03  4.0579e+05  2.5507e+01  1.5000e+03  1.5326e+07  3.6902e+01  1.5002e+03  
42          9.9284e+09  3.5542e+11  4.0296e+01  1.5000e+03  1.4042e+11  3.0541e+01  1.5000e+03  1.5957e+07  3.9360e+01  1.5000e+03  4.9628e+05  2.6934e+01  1.5000e+03  1.6453e+07  3.9005e+01  1.5002e+03  
43          9.9353e+09  3.2401e+11  4.2762e+01  1.5000e+03  1.2901e+11  3.2174e+01  1.5000e+03  1.7095e+07  4.1716e+01  1.5000e+03  6.1009e+05  2.8479e+01  1.5000e+03  1.7705e+07  4.1281e+01  1.5002e+03  
44          9.9424e+09  2.9506e+11  4.5440e+01  1.5000e+03  1.1825e+11  3.3961e+01  1.5000e+03  1.8345e+07  4.4269e+01  1.5000e+03  7.5714e+05  3.0151e+01  1.5000e+03  1.9102e+07  4.3731e+01  1.5001e+03  
45          9.9496e+09  2.6844e+11  4.8341e+01  1.5000e+03  1.0812e+11  3.5911e+01  1.5000e+03  1.9713e+07  4.7027e+01  1.5000e+03  9.5213e+05  3.1988e+01  1.5000e+03  2.0665e+07  4.6356e+01  1.5001e+03  
46          9.9569e+09  2.4404e+11  5.1476e+01  1.5000e+03  9.8580e+10  3.8038e+01  1.5000e+03  2.1199e+07  5.0001e+01  1.5000e+03  1.2154e+06  3.4060e+01  1.5000e+03  2.2415e+07  4.9158e+01  1.5001e+03  
47          9.9643e+09  2.2173e+11  5.4862e+01  1.5000e+03  8.9606e+10  4.0357e+01  1.5000e+03  2.2798e+07  5.3200e+01  1.5000e+03  1.5731e+06  3.6462e+01  1.5000e+03  2.4371e+07  5.2140e+01  1.5001e+03  
48          9.9719e+09  2.0139e+11  5.8531e+01  1.5000e+03  8.1177e+10  4.2907e+01  1.5000e+03  2.4494e+07  5.6653e+01  1.5000e+03  2.0558e+06  3.9305e+01  1.5000e+03  2.6550e+07  5.5330e+01  1.5001e+03  
49          9.9795e+09  1.8289e+11  6.2434e+01  1.5000e+03  7.3273e+10  4.5644e+01  1.5000e+03  2.6264e+07  6.0304e+01  1.5000e+03  2.6959e+06  4.2592e+01  1.5000e+03  2.8959e+07  5.8672e+01  1.5001e+03  
50          9.9872e+09  1.6611e+11  6.7040e+01  1.5000e+03  6.5880e+10  4.9045e+01  1.5000e+03  2.8072e+07  6.4610e+01  1.5000e+03  3.5231e+06  4.6808e+01  1.5000e+03  3.1595e+07  6.2657e+01  1.5001e+03  
51          9.9951e+09  1.5093e+11  7.0817e+01  1.5000e+03  5.8982e+10  5.1593e+01  1.5000e+03  2.9878e+07  6.8036e+01  1.5000e+03  4.5594e+06  5.0413e+01  1.5000e+03  3.4437e+07  6.5685e+01  1.5001e+03  
52          1.0003e+10  1.3722e+11  7.7719e+01  1.5000e+03  5.2568e+10  5.7254e+01  1.5000e+03  3.1634e+07  7.4530e+01  1.5000e+03  5.8137e+06  5.7328e+01  1.5000e+03  3.7447e+07  7.1844e+01  1.5001e+03  
53          1.0011e+10  1.2489e+11  8.1134e+01  1.5000e+03  4.6624e+10  5.9446e+01  1.5000e+03  3.3293e+07  7.7484e+01  1.5000e+03  7.2771e+06  6.0911e+01  1.5000e+03  4.0570e+07  7.4540e+01  1.5001e+03  
