r,ion_rate
1.052512496e+00,3.711608689e-04
1.052923874e+00,3.864662012e-04
1.053335253e+00,4.024665860e-04
1.053746632e+00,4.191989194e-04
1.054260855e+00,4.367946665e-04
1.054672234e+00,4.552529739e-04
1.055083613e+00,4.747479579e-04
1.055597836e+00,4.953243044e-04
1.056009215e+00,5.170680998e-04
1.056420594e+00,5.400683405e-04
1.056934817e+00,5.644014195e-04
1.057346196e+00,5.901256031e-04
1.057757575e+00,6.173179137e-04
1.058271798e+00,6.460544532e-04
1.058683177e+00,6.763693810e-04
1.059197400e+00,7.083117029e-04
1.059608779e+00,7.419521922e-04
1.060123002e+00,7.772899467e-04
1.060637226e+00,8.143812829e-04
1.061048604e+00,8.532197598e-04
1.061562828e+00,8.938470702e-04
1.062077051e+00,9.362438382e-04
1.062488430e+00,9.804402588e-04
1.063002653e+00,1.026383718e-03
1.063516877e+00,1.074056269e-03
1.064031100e+00,1.123501168e-03
1.064442479e+00,1.174627065e-03
1.064956702e+00,1.227422261e-03
1.065470926e+00,1.281821909e-03
1.065985149e+00,1.337835620e-03
1.066499373e+00,1.395395425e-03
1.067013596e+00,1.454486174e-03
1.067527819e+00,1.514995910e-03
1.068042043e+00,1.576995396e-03
1.068556266e+00,1.640318245e-03
1.069070490e+00,1.705015689e-03
1.069584713e+00,1.771072861e-03
1.070201781e+00,1.838425570e-03
1.070716005e+00,1.906979127e-03
1.071230228e+00,1.976935050e-03
1.071744452e+00,2.047980917e-03
1.072361520e+00,2.120341226e-03
1.072875743e+00,2.193944015e-03
1.073389966e+00,2.268666067e-03
1.074007035e+00,2.344783506e-03
1.074521258e+00,2.421971663e-03
1.075138326e+00,2.500514639e-03
1.075652550e+00,2.580285569e-03
1.076269618e+00,2.661361865e-03
1.076783841e+00,2.743607429e-03
1.077400909e+00,2.827202358e-03
1.077915133e+00,2.912343741e-03
1.078532201e+00,2.998694408e-03
1.079149269e+00,3.086411194e-03
1.079663492e+00,3.175714250e-03
1.080280560e+00,3.266443402e-03
1.080897628e+00,3.358719076e-03
1.081514697e+00,3.452601057e-03
1.082131765e+00,3.547948822e-03
1.082748833e+00,3.644835964e-03
1.083365901e+00,3.743629270e-03
1.083982969e+00,3.844151111e-03
1.084600037e+00,3.946150792e-03
1.085217105e+00,4.050040889e-03
1.085834173e+00,4.155812000e-03
1.086451241e+00,4.263459470e-03
1.087068309e+00,4.373082377e-03
1.087685378e+00,4.484592003e-03
1.088405290e+00,4.598069770e-03
1.089022358e+00,4.713684462e-03
1.089639427e+00,4.831387680e-03
1.090359339e+00,4.951138400e-03
1.090976407e+00,5.073155317e-03
1.091696320e+00,5.197493451e-03
1.092313388e+00,5.324018923e-03
1.093033301e+00,5.452865245e-03
1.093650369e+00,5.584119991e-03
1.094370282e+00,5.717890565e-03
1.094987350e+00,5.854131497e-03
1.095707263e+00,5.992820642e-03
1.096427176e+00,6.134260422e-03
1.097147088e+00,6.278175600e-03
1.097867001e+00,6.425059870e-03
1.098484069e+00,6.574414361e-03
1.099203982e+00,6.726948619e-03
1.099923895e+00,6.882221444e-03
1.100643808e+00,7.040527670e-03
1.101363721e+00,7.201835200e-03
1.102083633e+00,7.366403960e-03
1.102906391e+00,7.534176080e-03
1.103626304e+00,7.705246270e-03
1.104346216e+00,7.879664059e-03
